group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,Clan-Mitglieder leichter abschieben Rückführungen sind kompliziert. Die Bundesinnenministerin will d(2).PDF | Clan-Mitglieder leichter abschieben Rückführungen sind kompliziert. Die Bundesinnenministerin will d.PDF,Clan-Mitglieder leichter abschieben Rückführungen sind kompliziert. Die Bundesinnenministerin will das ändern | Clan-Mitglieder leichter abschieben Rückführungen sind kompliziert. Die Bundesinnenministerin will das ändern,Rheinische Post | Rheinische Post,Dienstag 8. August 2023 | Dienstag 8. August 2023
exact_002,duplicate_exact,2,Die Kinderwunschpolitik der AfD Analyse Tino Chrupalla wettert gegen die angebliche „Ein-Kind-Politi(2).PDF | Die Kinderwunschpolitik der AfD Analyse Tino Chrupalla wettert gegen die angebliche „Ein-Kind-Politi.PDF,Die Kinderwunschpolitik der AfD Analyse Tino Chrupalla wettert gegen die angebliche „Ein-Kind-Politik“ der | Die Kinderwunschpolitik der AfD Analyse Tino Chrupalla wettert gegen die angebliche „Ein-Kind-Politik“ der,Rheinische Post | Rheinische Post,Freitag 11. August 2023 | Freitag 11. August 2023
exact_003,duplicate_exact,2,Druck auf Clans braucht Grundlagen(2).PDF | Druck auf Clans braucht Grundlagen.PDF,Druck auf Clans braucht Grundlagen | Druck auf Clans braucht Grundlagen,Rheinische Post | Rheinische Post,Dienstag 8. August 2023 | Dienstag 8. August 2023
exact_004,duplicate_exact,2,Einbürgerung leichter gemacht Die Ampelkoalition will das Staatsangehörigkeitsrecht reformieren. Gut(2).PDF | Einbürgerung leichter gemacht Die Ampelkoalition will das Staatsangehörigkeitsrecht reformieren. Gut.PDF,Einbürgerung leichter gemacht Die Ampelkoalition will das Staatsangehörigkeitsrecht reformieren. Gut | Einbürgerung leichter gemacht Die Ampelkoalition will das Staatsangehörigkeitsrecht reformieren. Gut,Rheinische Post | Rheinische Post,Donnerstag 24. August 2023 | Donnerstag 24. August 2023
exact_005,duplicate_exact,2,"Flüchtlinge_ Brandbrief an das Land Die Erfüllungsquote weist aus, wo Flüchtlinge dauerhaft leben. G(2).PDF | Flüchtlinge_ Brandbrief an das Land Die Erfüllungsquote weist aus, wo Flüchtlinge dauerhaft leben. G.PDF","Flüchtlinge: Brandbrief an das Land Die Erfüllungsquote weist aus, wo Flüchtlinge dauerhaft leben. Größere | Flüchtlinge: Brandbrief an das Land Die Erfüllungsquote weist aus, wo Flüchtlinge dauerhaft leben. Größere",Rheinische Post | Rheinische Post,Montag 28. August 2023 | Mittwoch 23. August 2023
exact_006,duplicate_exact,2,Flüchtlingsheime in NRW sind am Limit Allein in diesem Jahr hat das Land 30.000 Menschen auf die Stä(2).PDF | Flüchtlingsheime in NRW sind am Limit Allein in diesem Jahr hat das Land 30.000 Menschen auf die Stä.PDF,Flüchtlingsheime in NRW sind am Limit Allein in diesem Jahr hat das Land 30.000 Menschen auf die Städte | Flüchtlingsheime in NRW sind am Limit Allein in diesem Jahr hat das Land 30.000 Menschen auf die Städte,Rheinische Post | Rheinische Post,Donnerstag 31. August 2023 | Donnerstag 31. August 2023
exact_007,duplicate_exact,2,"Flüchtlingstumult alarmiert NRW Ministerin Paul kündigt an, die Vorfälle in Unna aufzuklären. Polize(2).PDF | Flüchtlingstumult alarmiert NRW Ministerin Paul kündigt an, die Vorfälle in Unna aufzuklären. Polize.PDF","Flüchtlingstumult alarmiert NRW Ministerin Paul kündigt an, die Vorfälle in Unna aufzuklären. Polizei-Experten | Flüchtlingstumult alarmiert NRW Ministerin Paul kündigt an, die Vorfälle in Unna aufzuklären. Polizei-Experten",Rheinische Post | Rheinische Post,Samstag 19. August 2023 | Samstag 19. August 2023
exact_008,duplicate_exact,2,"Schleuser zu einer Bewährungsstrafe verurteilt Der 31-jährige Mann gab zu, Geld für gefährliche Boot(2).PDF | Schleuser zu einer Bewährungsstrafe verurteilt Der 31-jährige Mann gab zu, Geld für gefährliche Boot.PDF","Schleuser zu einer Bewährungsstrafe verurteilt Der 31-jährige Mann gab zu, Geld für gefährliche Bootsfahrten | Schleuser zu einer Bewährungsstrafe verurteilt Der 31-jährige Mann gab zu, Geld für gefährliche Bootsfahrten",Rheinische Post | Rheinische Post,Donnerstag 3. August 2023 | Donnerstag 3. August 2023
exact_009,duplicate_exact,2,Schwarz-Grün lässt die Städte im Stich(2).PDF | Schwarz-Grün lässt die Städte im Stich.PDF,Schwarz-Grün lässt die Städte im Stich | Schwarz-Grün lässt die Städte im Stich,Rheinische Post | Rheinische Post,Montag 21. August 2023 | Montag 21. August 2023
exact_010,duplicate_exact,2,Spahn führt die falsche Debatte(2).PDF | Spahn führt die falsche Debatte.PDF,Spahn führt die falsche Debatte | Spahn führt die falsche Debatte,Rheinische Post | Rheinische Post,Dienstag 22. August 2023 | Dienstag 22. August 2023
