file_name,decision,reason,duplicate_group,notes
350 000 So viele abgelehnte Asylbewerber klagen derzeit gegen ihren Bescheid Legt eine Anti-Abschieb(2).PDF,drop,regional_variant,variant_001,Dropped in favor of representative file: 350 000 So viele abgelehnte Asylbewerber klagen derzeit gegen ihren Bescheid Legt eine Anti-Abschieb.PDF (variant_001).
350 000 So viele abgelehnte Asylbewerber klagen derzeit gegen ihren Bescheid Legt eine Anti-Abschieb.PDF,keep,,variant_001,Representative kept for variant_001.
"_Die Integration wird gelingen_ Die Hilfsangebote für Geflüchtete wandeln sich, vielfach hilft den E.PDF",keep,,,
"_Die Kleiderschränke sind voll_ Chef Wolfgang Grupp über das Überleben in einem gesättigten Markt, v.PDF",keep,,,
_Es hat sich ein aggressiver Mob gebildet_.PDF,keep,,,
_Haltung verschiebt man nicht mal eben_ Rückt Deutschland nach rechts_ Nordrhein-Westfalens Minister.PDF,keep,,,
_Ich wäre gerne Vizekanzler geworden_.PDF,keep,,,
_Schwache_ Polizei heißt schwacher Staat.PDF,keep,,,
"_Unser Aufnahmesystem gefährdet Asylbewerber_ Die Vorsitzende des Paritätischen Wohlfahrtsverbandes,.PDF",keep,,variant_002,Representative kept for variant_002.
_Unser Aufnahmesystem ist ungerecht und absurd_ Die Vorsitzende des Paritätischen Wohlfahrtsverbande.PDF,drop,regional_variant,variant_002,"Dropped in favor of representative file: _Unser Aufnahmesystem gefährdet Asylbewerber_ Die Vorsitzende des Paritätischen Wohlfahrtsverbandes,.PDF (variant_002)."
Absage an Ankerzentrum.PDF,keep,,,
An wen richtet sich die Kritik von Dobrindt_ Der CSU-Politiker sieht in Deutschland eine _Anti-Absch.PDF,keep,,,
Asyldebatte um Jahre zurückgeworfen Kommentar von Johanna Roth über den Skandal im Bundesamt für Mig.PDF,drop,commentary_noncore,,
Bagger gegen Zelte Die Pariser Polizei hat am Mittwoch ein riesiges Zeltlager von Flüchtlingen am Uf.PDF,keep,,,
Bereit für den Arbeitsmarkt Aktionsplan soll Flüchtlingen Zugang zu Jobs erleichtern.PDF,keep,,,
CDU will Ankerzentren für Asylbewerber Flüchtlinge Unions-Experte Schünemann drängt SPD zur raschen.PDF,keep,,,
"CSU-General_ Sachleistungen statt Bargeld für Flüchtlinge Markus Blume fordert, die Anreize für Einw.PDF",keep,,,
Das Ende der blauen Idee Angesichts neuer Migrationsmuster kann die _Blaue Karte EU_ den Fachkräftem.PDF,keep,,,
Das Missverständnis um die Klagen der abgelehnten Asylbewerber Angeblich kassieren die Gerichte fast.PDF,keep,,,
Demonstration der Stärke Nach dem massiven Widerstand gegen eine Abschiebung greift die Polizei in d.PDF,keep,,,
Desperados gegen Kavalleristen aus Fort Göppingen.PDF,drop,commentary_noncore,,
Deutsches Diskursversagen Nach den Vorfällen in Ellwangen ist immer wieder vom Staatsversagen die Re.PDF,keep,,,
"Die Angst, die Gewalt und das Ende des Vertrauens Nach den brutalen Attacken auf die Polizei vom ver.PDF",keep,,,
Die Furcht vor den Frustrierten Massenunterkünfte mit Asylbewerbern ohne Perspektive bergen ein groß.PDF,keep,,,
Die Kluft wächst Die Anerkennungsquote von Asylbewerbern sinkt inzwischen deutlich. Dennoch bleibt d.PDF,keep,,,
"Die neue Asyl-Debatte Barbara John, die frühere Ausländerbeauftragte Berlins, fordert von Kanzlerin.PDF",keep,,,
Dreimal täglich Trauma und Verzweiflung.PDF,keep,,,
"Ex-Chef Weise_ Bamf war überfordert _Es gab 2015 keine Strukturen, die der Belastung gerecht werden.PDF",keep,,,
Flüchtlings-Bundesamt Vertrauen zurückgewinnen Von Antje Sirleschtov.PDF,keep,,,
Freundliches Kennenlernen vor der Abschiebung.PDF,keep,,,
Geheime Kasse Während der Flüchtlingskrise legte der Bund Milliarden für die Integration zurück. Von.PDF,keep,,,
Jeder vierte Flüchtling hat einen Job.PDF,keep,,,
Justizmarathon eines Gefährders.PDF,keep,,,
Kaum einer will Seehofers Ankerzentren.PDF,keep,,,
Kritik an _Ankerzentren_ wächst.PDF,keep,,,
Lernen von den Einwanderungsländern.PDF,keep,,,
"Nur Worte, keine Gewalt Nach dem massiven Polizeieinsatz in ihrer Unterkunft protestieren die betrof.PDF",keep,,,
Nährboden der Gewalt Ankerzentren stehen nach Ellwangen in der Kritik.PDF,keep,,,
Polizei skeptisch bei Ankerzentren.PDF,keep,,,
Polizei zeigt in Ellwangen volle Stärke Migration Zugriff in Asylbewerberheim   Seehofer lobt_ Wider.PDF,keep,,,
Rechte gelten für alle.PDF,keep,,,
Seehofer _ Bundespolizei für Flüchtlingszentren.PDF,keep,,,
Spielball der Politik.PDF,drop,commentary_noncore,,
Togoer aus Ellwangen abgeschoben Der 23-Jährige saß seit dem Polizeieinsatz in der Asylunterkunft An.PDF,keep,,,
Tribunal oder Fehleranalyse - Kanzlerin gerät in die Zange AfD und FDP nehmen Flüchtlingspolitik ins.PDF,keep,,,
"Verliebt, verlobt, versteckt Osnabrück will einen abgelehnten Asylbewerber nach Pakistan abschieben.PDF",keep,,,
Was geschah in Ellwangen_ Flüchtlinge verhindern eine Abschiebung. Polizei und Politik sprechen von.PDF,keep,,,
Wege in den Job.PDF,keep,,,
"Zuwanderung, aber richtig.PDF",drop,commentary_noncore,,
Zwischen Schönrednerei und Übertreibung Wie reagiert die Kleinstadt auf die Zwischenfälle_.PDF,keep,,,
