file_name,decision,reason,duplicate_group,notes
98 Asylbewerber leben in Kranenburg(2).PDF,keep,,,
98 Asylbewerber leben in Kranenburg.PDF,keep,,,
_ Merkel muss sagen_ Deutschland ist Einwanderungsland_(2).PDF,keep,,,
_ Merkel muss sagen_ Deutschland ist Einwanderungsland_.PDF,keep,,,
_ Til Schweiger muss gut mit den Behörden arbeiten_ Der Schauspieler will eine _Vorzeige_-Unterkunft.PDF,keep,,,
_Die große Mehrheit der Ostdeutschen ist weltoffen_ Sachsen -Anhalts Ministerpräsident Reiner Haselo.PDF,keep,,,
_Die Zahl der Muslime wird wachsen_ Zentralrats-Chef Mazyek über Flucht und Religion.PDF,keep,,,
"_Es ist toll, was die Bevölkerung leistet_ Die Flüchtlingsbeauftragte Aydan Özoguz schaut sich Unter.PDF",keep,,,
_In einem Monat abschieben_.PDF,keep,,,
"_Mehr Personal, mehr Geld, und zwar schnell_ Der Chef der Innenminister-Konferenz, Roger Lewentz (SP.PDF",keep,,,
_Nur mit Bauchschmerzen_ Selbst das reiche Baden-Württemberg stößt bei der Aufnahme von Flüchtlingen.PDF,keep,,,
_Wir können die Menschen nicht dauerhaft in Zelten unterbringen_ Der CDU-Vizevorsitzende Thomas Stro.PDF,keep,,,
_Wir stellen uns mit aller Macht gegen den Terror_ Gemeinsame Erklärung aller Parteien gegen rechte.PDF,keep,,,
Abgeschobene dürfen nicht mehr einreisen Fast alle Asylbewerber vom Balkan bekommen in Deutschland n.PDF,keep,,,
Abrissplan - mehr als nur ein Armutszeugnis(2).PDF,drop,duplicate_exact,exact_001,Dropped in favor of representative file: Abrissplan - mehr als nur ein Armutszeugnis.PDF (exact_001).
Abrissplan - mehr als nur ein Armutszeugnis.PDF,keep,,exact_001,Representative kept for exact_001.
Abschiebungen nehmen zu Steigerung um 40 Prozent - Bundesländer fordern weitere Beschleunigung.PDF,keep,,,
"Asyl ist nicht für alle da Das Asylrecht, das als Recht auf Zuflucht aus einer unentrinnbaren Notlag.PDF",keep,,,
Asyl ist nicht gleich Asyl Flüchtlinge wollen oft nach Deutschland. Dabei haben sie in anderen EU-Lä.PDF,keep,,,
Auf dem Weg Nach der Reform des Einwanderungsrechts wird der große Wurf weiter diskutiert. Studien l.PDF,keep,,,
Außen vor Vielen Flüchtlingen geht es miserabel. Ihre Zahl steigt - und ihre Perspektiven bleiben dü.PDF,keep,,,
Azubis nicht abschieben Flüchtlinge sollen nach Ende der Lehre mindesten zwei Jahre bleiben dürfen.PDF,keep,,,
Begehbare Brücken.PDF,drop,commentary_noncore,,
Bis zu 150 000 Flüchtlinge in NRW in diesem Jahr möglich.PDF,keep,,,
Bis zu 50 tote Flüchtlinge in Lkw in Österreich entdeckt.PDF,keep,,,
Breite Front gegen Flüchtlinge In Brüssel und ganz Europa wird die Hilfsbereitschaft Deutschlands ge.PDF,keep,,,
Bund muss Prognose bei Asylanträgen anheben Länder rechnen mit bis zu 600.000 Bewerbern in diesem Ja.PDF,keep,,,
"Bund setzt auf Abschreckung, Berlin auf neues Konzept ASYL Bundesamt warnt in Anzeigen Balkan -Flüch.PDF",keep,,,
Bundesbehörde will Kirchenasyl beenden.PDF,keep,,,
CDU führt Debatte über Flüchtlinge.PDF,keep,,,
CDU_ Asylverfahren zügig bearbeiten.PDF,keep,,,
Das große Geschacher.PDF,keep,,,
Das Proletariat von morgen In der Debatte über Flüchtlinge scheint unser Urteilsvermögen durch Mitle.PDF,keep,,,
De Maizière setzt bei Flüchtlingen auf Abschreckung.PDF,keep,,,
"Der Flüchtling als Kostenfaktor Finanzierung Die Bundesländer verlangen, dass sich der Bund stärker.PDF",keep,,,
"Der Montag ist Spitzentag Etwa 175 Flüchtlinge erreichen täglich Berlin, bis Jahresende fehlen noch.PDF",keep,,,
Der Weg nach Europa Griechenland Die meisten Flüchtlinge wollen weiterreisen.PDF,keep,,,
Deutsche zufrieden mit Asylpolitik Wähler blicken gelassen auf Zuwanderung.PDF,keep,,,
Die Durchreise endet hinter Stacheldraht.PDF,keep,,,
"Ein Zwischenruf zu den ... ... Balkanländern Barbara John glaubt, dass auch die Bestimmung _sicherer.PDF",drop,commentary_noncore,,
Es fehlen flexible Integrationsverfahren.PDF,keep,,,
"Es kann nicht sein, dass wir am Flüchtlingsthema scheitern.PDF",keep,,,
Es trifft vor allem Roma Erich Rathfelder über die Kampagne gegen Balkan -Flüchtlinge.PDF,drop,commentary_noncore,,
EU will Ungarn helfen Kommission bietet Geld für Flüchtlingslager - Zustrom hält an.PDF,keep,,,
EU-Asylrecht außer Kraft gesetzt Recht Berlin schickt Syrer nicht in andere EU-Staaten zurück.PDF,keep,,,
Flüchtlinge in Container _.PDF,keep,,,
Flüchtlinge_ Politiker planen Runden Tisch.PDF,review,,,Short local brief kept for review.
Flüchtlinge_ Stadt lädt zu Infoabend in Heelden ein.PDF,keep,,,
Flüchtlinge_ Städte fordern Hilfe Offener Brief von fünf Oberbürgermeistern unterschrieben.PDF,drop,reader_letter,,
Flüchtlingshilfe_ Thiel kontert Kritik.PDF,keep,,,
"Fünf Länder schieben weniger ab als im Vorjahr Obwohl die Zahl der Asylbewerber steigt, zögern die B.PDF",keep,,,
Gabriel _ EU versagt bei Flüchtlingen.PDF,keep,,,
Gabriel im Nahkampf.PDF,keep,,,
Hell und dunkel.PDF,drop,commentary_noncore,,
Im Fokus In der Debatte um Flüchtlinge kommt es vor allem auf Thomas de Maizière an. Was tut der Inn.PDF,keep,,,
Im Laster erstickt.PDF,keep,,,
Innenministerin möchte befristeten Schutz statt Asyl ÖSTERREICH Für die Unterbringung von Flüchtling.PDF,keep,,,
Ist Merkel doch nicht okay_ Den Flüchtlingen in Deutschland hilft weder Moralproduktion noch Empörun.PDF,keep,,,
Italiens Polizei nimmt Schleuser fest 200 Menschen werden nach Bootsunglück vermisst.PDF,keep,,,
Kommunen im Krisenmodus Flüchtlingsversorgung_ Bund und Länder sollen Milliarden bereitstellen.PDF,keep,,,
Koran ins Klo geworfen.PDF,keep,,,
Leitartikel · EINWANDERUNG_ Ohne Scheuklappen.PDF,drop,commentary_noncore,,
Massenflucht vom Balkan(2).PDF,keep,,,
Massenflucht vom Balkan.PDF,keep,,,
Massengrab Lkw 71 Flüchtlinge im Kühlraum erstickt - Festgenommene nur Handlanger der Schleuserbande.PDF,keep,,,
Mehr syrische Flüchtlinge Statistik In Deutschland leben insgesamt 745.000 Geflüchtete.PDF,keep,,,
NACHFRAGE.PDF,keep,,,
Neoliberale Flüchtlingshilfe.PDF,drop,commentary_noncore,,
"Neue Wege für Balkan -Zuwanderer Grüne schlagen vor, den Migranten ein Arbeitsvisum statt Asyl zu ge.PDF",keep,,,
Politik Kompakt Asyl_ Woelki_ Armut auf Balkan anders bekämpfen ++ Westbalkan_ Flüchtlingskrise besc.PDF,keep,,,
Politik Kompakt I _Agenda 2020__ Schröder fordert moderne Zuwanderungspolitik ++ Hameln_ Tatverdächt.PDF,keep,,,
Politik will Flüchtlingen ans Taschengeld THEMA DES TAGES Asylbewerber Der Chef des Bundesamts für M.PDF,keep,,,
Retten Flüchtlinge unsere Rente_ Hunderttausende Asylbewerber kommen nach Deutschland. Sie belasten(2).PDF,drop,regional_variant,variant_001,Dropped in favor of representative file: Retten Flüchtlinge unsere Rente_ Hunderttausende Asylbewerber kommen nach Deutschland. Sie belasten.PDF (variant_001).
Retten Flüchtlinge unsere Rente_ Hunderttausende Asylbewerber kommen nach Deutschland. Sie belasten.PDF,keep,,variant_001,Representative kept for variant_001.
Rheurdter Vereine zeigen sich offen für die Flüchtlinge(2).PDF,keep,,,
Rheurdter Vereine zeigen sich offen für die Flüchtlinge.PDF,keep,,,
