file_name,decision,reason,duplicate_group,notes
3.000 Migranten festgenommen RUSSLAND Polizei geht gezielt gegen Markthändler aus dem Nordkaukasus u.PDF,keep,,,
5-köpfige Familie aus Syrien sucht UNTERBRINGUNG Weil die Zuwanderungszahlen zehn Jahre lang zurückg.PDF,keep,,,
_Action in Hellersdorf_ FLÜCHTLINGE Nach Protesten gegen ein neues Asylbewerberheim in Berlin-Heller.PDF,keep,,,
_Den Gemeinden gegen Nazis helfen_.PDF,keep,,,
_Es gibt eine neue Lage_ ASYL CDU-Vize Laschet fordert ein Umdenken.PDF,keep,,,
"_Familien sollen nachziehen dürfen_ Innenminister Reinhold Gall über Flüchtlinge aus Syrien, die Pol.PDF",keep,,,
_Gegenüber den Roma existieren uralte Klischees_.PDF,keep,,,
_Ich gehe nicht nach Hellersdorf zurück_ Vor einer Woche wurde Karim H. in das umstrittene Heim gebr.PDF,keep,,,
_Kriegerin_ eröffnet ZDF-Kinofilmreihe.PDF,keep,,,
_Nur auf die Polizei zu setzen reicht nicht_ FLUCHT II Georg Classen vom Flüchtlingsrat fordert ein.PDF,keep,,,
"_Roma werden instrumentalisiert_ ANTIZIGANISMUS Nicht die Roma sollten sich ändern, sondern die Euro.PDF",keep,,,
"_Vegesack gefiel mir nicht_ PARLAMENT Grüne, SPD und Linkspartei wollen _Gesamtkonzept_ für Flüchtli.PDF",keep,,,
_Wir beten bei der Wallfahrt für den Frieden in Sri Lanka _.PDF,keep,,,
_Wir müssen jetzt Flagge zeigen!_.PDF,keep,,,
_Wir sind nicht gegen Flüchtlinge_ WIDERSTAND Auch in einigen Hamburger Stadtteilen wehrt sich die N.PDF,keep,,,
AI ermahnt Parteien.PDF,keep,,,
Als NRW für die Roma Häuser baute.PDF,keep,,,
Am schlimmsten ist das Nichtstun Steigende Zahlen führen zu Spannung in den Heimen - Unerfüllte Hoff.PDF,keep,,,
Anleitung zum Wenigersein Forscher kritisieren die Demografiepolitik der Bundesregierung und legen e.PDF,keep,,,
Antenne niederrhein.PDF,keep,,,
Asyl an der Alster FLÜCHTLINGE Das ehemalige Kreiswehrersatzamt an der Sophienterrasse soll zur Unte.PDF,keep,,,
Asyl Hellersdorf - ein Tag in der Skandalzone Bilderwelt und Wirklichkeit - was als neuer Nazi-Skand.PDF,keep,,,
Asyl in Düsseldorf.PDF,keep,,,
Asylbewerber erstochen Tödlicher Streit zwischen zwei Männern aus Pakistan - Polizei Tage zuvor um H.PDF,keep,,variant_001,Representative kept for variant_001.
Asylbewerber erstochen Tödlicher Streit zwischen zwei Pakistani - Polizei schon zuvor um Hilfe geruf.PDF,drop,regional_variant,variant_001,Dropped in favor of representative file: Asylbewerber erstochen Tödlicher Streit zwischen zwei Männern aus Pakistan - Polizei Tage zuvor um H.PDF (variant_001).
Asylbewerber in EU ungleich verteilt  23 Prozent aller Anträge in Deutschland gestellt.PDF,keep,,,
Asylbewerber-Ansturm überfordert viele Kommunen Angesichts einer Verdoppelung der Anträge schlagen K.PDF,keep,,,
Asylbewerberzahlen Falscher Alarm.PDF,drop,commentary_noncore,,
Auf der Flucht.PDF,keep,,,
Aufmarsch und Widerstand.PDF,drop,duplicate_near,near_001,Dropped in favor of representative file: Ziviler Widerstand.PDF (near_001).
"Aufstand der Unsichtbaren RADIKAL In der Heimat traumatisiert, in Deutschland deprimiert. Warum sich.PDF",keep,,,
Auftritte von Rechts und Links.PDF,keep,,,
"Begrenzter Schutz In Berlin, München und Hamburg zelten seit Monaten Flüchtlinge und protestieren fü.PDF",keep,,,
Betr._ LeserInnenbriefe zum Thema der Woche.PDF,drop,reader_letter,,
Bevölkerung wächst durch Zuwanderung Höchste Steigerung in Deutschland seit 20 Jahren.PDF,keep,,,
Bosbach fordert Flüchtlingsgipfel Wieder Proteste in Hellersdorf _ Senatsbeauftragte verlangt Bannme.PDF,keep,,,
Breite Front gegen die NPD 700 Demonstranten protestierten gestern in Hellersdorf für die Flüchtling.PDF,keep,,,
BUNDESPOLITIK  Suche nach Konzepten.PDF,keep,,,
Bürgerverein fordert Zeitplan für Asylbewerber-Unterkunft.PDF,keep,,,
Caritas diskutiert mit Sabine Weiss.PDF,keep,,,
Darf man „Deutschland über alles_ singen_ Vertriebenen-Treffen zwischen Nationalstolz und weltweitem.PDF,keep,,,
Das Märchen vom Vorzeige-Migranten(2).PDF,keep,,,
Das Märchen vom Vorzeige-Migranten.PDF,keep,,,
Debatte um Unterkunft Erneut Proteste gegen Asylbewerber in Berlin.PDF,keep,,,
Der Fall Snowden entzweit die USA und Russland(2).PDF,keep,,variant_002,Representative kept for variant_002.
Der Fall Snowden entzweit die USA und Russland.PDF,drop,regional_variant,variant_002,Dropped in favor of representative file: Der Fall Snowden entzweit die USA und Russland(2).PDF (variant_002).
Der Mitnehmer  Lothar Bisky war das nachdenkliche Gesicht der Linkspartei. Doch hinter seiner Freund.PDF,keep,,,
Der Volksprofessor Am Tag nach der Autonomen-Attacke in Bremen war Bernd Lucke wieder im Wahlkampf u.PDF,keep,,,
Deutsche Bevölkerung wächst.PDF,keep,,,
Deutscher Schulterschluss mit Alliierten.PDF,keep,,,
Deutschland Kompakt Endlager-Kommission_ Grüne kritisieren Milbradt-Nominierung ++ Asylpolitik_ Böhm.PDF,keep,,,
Deutschland Kompakt Familienpolitik_ Sorge um eigenen Wohlstand bremst Kinderwunsch ++ Ägyptenbesuch.PDF,keep,,,
Deutschland Kompakt II SPD_ Knatsch unter Parteilinken wegen Koalitionsaussagen ++ Endlagersuche_ Ka.PDF,keep,,,
Deutschland Kompakt Länderfusionen_ Tiefensee_ Verwaltungen stärker zusammenlegen ++ Psychiatrie-Aff.PDF,keep,,,
Dicke Luft vertreibt Europäer EMISSIONEN Wegen des Smogs in China erwägen die meisten Einwanderer au.PDF,keep,,,
