file_name,decision,reason,duplicate_group,notes
200 Deutsche für den Grenzschutz EU plant Einsatz von 1500 Polizisten.PDF,keep,,,
"_Ich habe einen Auftrag zu erfüllen_ Er leitet zwei Behörden, die über das Schicksal und die Zukunft.PDF",keep,,,
_Wir brauchen mehr Tempo_ Vor allem bezahlbare Wohnungen sind in den Metropolen rar. Bund und Länder.PDF,keep,,,
Anders als erwartet_ Das neue Flüchtlingsamt kommt THEMA DES TAGES Verwaltung II Das  neu modelliert.PDF,keep,,,
Asylkosten_ Stadt trägt den Löwenanteil.PDF,keep,,,
"Auf der Flucht nach Europa ABSCHOTTUNG Die Zahl der Menschen, die in Deutschland ankommen, sinkt. Di.PDF",keep,,,
Aus einem Kriminellen wird ein Geflüchteter StatusWECHSEL Niedersächsisches Oberverwaltungsgericht v.PDF,keep,,,
Begeistert mit Flüchtlingen.PDF,drop,commentary_noncore,,
Bischof trifft christliche Flüchtlinge Dröge_ Keine Belege für systematische Bedrohung.PDF,keep,,,
Bitterer Abschied Wenn auf Gastfreundschaft die Abschiebung folgt und Helfer von Flüchtlingen Hilfe.PDF,keep,,,
"Bleiberecht erkämpft debatte Christian Jakob erklärt, wie die Flüchtlinge Wegbereiter der Willkommen.PDF",keep,,,
Bund lässt Flüchtlinge im Kreiswehrersatzamt registrieren.PDF,keep,,,
"Bundespolizei warnt vor illegaler Einwanderung Seit die Balkanroute dicht ist, kommen Flüchtlinge nu.PDF",keep,,,
"Darum fliehen Nordafrikaner aus der Heimat Folter in Gefängnissen, Korruption_ Trotzdem sollen Marok.PDF",keep,,,
"Das Bleiberecht erkämpft debatte Christian Jakob erklärt, wie die Flüchtlinge Wegbereiter der Willko.PDF",keep,,,
Das Zwei-Milliarden-Projekt Mehr als 100 000 Geflüchtete dürften längerfristig in Berlin bleiben. Wo.PDF,keep,,,
Deutschland ist weltweit das Flüchtlingsland Nummer zwei Nur die Türkei hat mehr Schutzsuchende aufg.PDF,keep,,,
Die gespaltene Republik VORURTEILE Trotz aller Antiasylproteste_ Eine Studie sieht keinen wachsenden.PDF,keep,,,
Die Lügen der Flüchtlinge.PDF,drop,commentary_noncore,,
DRK-Vorsitzender fordert Abschiebung(2).PDF,keep,,exact_001,Representative kept for exact_001.
DRK-Vorsitzender fordert Abschiebung(3).PDF,drop,duplicate_exact,exact_001,Dropped in favor of representative file: DRK-Vorsitzender fordert Abschiebung(2).PDF (exact_001).
DRK-Vorsitzender fordert Abschiebung(4).PDF,keep,,variant_001,Representative kept for variant_001.
DRK-Vorsitzender fordert Abschiebung.PDF,drop,regional_variant,variant_001,Dropped in favor of representative file: DRK-Vorsitzender fordert Abschiebung(4).PDF (variant_001).
"Ein Ort, um Geschichte zu schreiben.PDF",keep,,,
Endstation Lesbos UN - Generalsekretär Ban Ki Moon besucht Flüchtlingslager auf griechischer Insel.PDF,keep,,,
Es bleibt ihr Zuhause auf Zeit TAZ-SERIE FLUCHTPUNKT BERLIN (7) Gerade hat die syrische Familie Mott.PDF,keep,,,
"Familiennachzug_ 500.000 statt 1,5 Millionen Syrer erwartet.PDF",keep,,,
"Flüchtlinge aus Syrien werden seltener kriminell Migranten aus Nordafrika, Georgien und Serbien sind.PDF",keep,,,
Flüchtlingshäuser_ Baubeginn Ende Juli.PDF,keep,,,
Großes Geschiebe Die _Dublin_-Regelung greift nicht. Viele Flüchtlinge bleiben in Deutschland hängen.PDF,keep,,,
Grüne kritisieren Asylpraxis Viele Syrer erhalten nur subsidiären Schutz.PDF,keep,,,
"Hinterm Horizont Die Zahl der in Deutschland ankommenden Flüchtlinge sinkt. Aber egal, welche Statis.PDF",keep,,,
Hochschüler entwickelt eine hilfreiche App für Flüchtlinge.PDF,keep,,,
Integrationsprojekt mit Stühlen.PDF,keep,,,
Keine Waffen für Saudi -Arabien Friedensinstitute fordern Umdenken in der Politik.PDF,keep,,,
Leider gar nicht übertrieben Kommentarvon Ines KappertAktion.PDF,drop,commentary_noncore,,
Lernen durch Nachmachen Ehrenamtliche geben Flüchtlingen Schwimmkurse.PDF,keep,,,
Linke will sich AfD-Wählern nicht anbiedern Streitgespräch der Berliner Spitzenkandidaten_ Klaus Led.PDF,keep,,,
Nur wenige Asylsuchende sind kriminell Die Zahl der von Flüchtlingen begangenen Straftaten ist stark.PDF,keep,,,
"Offen für alles Offiziell sinken die Flüchtlingszahlen, erleichtert wendet sich die Politik anderen.PDF",keep,,,
Ohne drohenden Zeigefinger Berlin und Wien fordern Flüchtlingsverteilung.PDF,keep,,,
Silvester-Täter waren neu im Land.PDF,keep,,,
Stadt plant weitere Flüchtlingsheime.PDF,keep,,,
Türkei hindert Akademiker an der Ausreise.PDF,keep,,,
"Viel Misstrauen, wenig Verständnis Migration in den Medien_ Wie unterschiedlich die europäische Pres.PDF",keep,,,
"Was verändern die Flüchtlinge_ Ein Ruck geht durch Schulen und Hochschulen, sagt JÖRG DRÄGER(2).PDF",drop,duplicate_exact,exact_002,"Dropped in favor of representative file: Was verändern die Flüchtlinge_ Ein Ruck geht durch Schulen und Hochschulen, sagt JÖRG DRÄGER.PDF (exact_002)."
"Was verändern die Flüchtlinge_ Ein Ruck geht durch Schulen und Hochschulen, sagt JÖRG DRÄGER.PDF",keep,,exact_002,Representative kept for exact_002.
Weniger Straftaten von Flüchtlingen.PDF,keep,,,
Willkommen in der Wirklichkeit.PDF,keep,,,
Wohnungen für Flüchtlinge fehlen.PDF,keep,,,
