group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,"Deutschland_ Nein danke! ZUWANDERUNG Ärzte, Ingenieure, Pfleger_ Der Fachkräftemangel ist groß, doch(2).PDF | Deutschland_ Nein danke! ZUWANDERUNG Ärzte, Ingenieure, Pfleger_ Der Fachkräftemangel ist groß, doch.PDF","Deutschland? Nein danke!; ZUWANDERUNG Ärzte, Ingenieure, Pfleger: Der Fachkräftemangel ist groß, doch | Deutschland? Nein danke! ZUWANDERUNG Ärzte, Ingenieure, Pfleger: Der Fachkräftemangel ist groß, doch","taz, die tageszeitung | taz, die tageszeitung",Dienstag 05. Februar 2013 | Dienstag 05. Februar 2013
exact_002,duplicate_exact,2,"Wer die Wahl hat, geht woandershin KOMMENTAR VON CHRISTIAN JAKOB ZUR EINWANDERUNG NACH DEUTSCHLAND(2).PDF | Wer die Wahl hat, geht woandershin KOMMENTAR VON CHRISTIAN JAKOB ZUR EINWANDERUNG NACH DEUTSCHLAND.PDF","Wer die Wahl hat, geht woandershin; KOMMENTAR VON CHRISTIAN JAKOB ZUR EINWANDERUNG NACH | Wer die Wahl hat, geht woandershin; KOMMENTAR VON CHRISTIAN JAKOB ZUR EINWANDERUNG NACH","taz, die tageszeitung | taz, die tageszeitung",Dienstag 05. Februar 2013 | Dienstag 05. Februar 2013
near_001,duplicate_near,2,_Mich hat das angestachelt_ Drei Einwandererkinder über eine gerechtere Schule und ihren eigenen Weg.PDF | »Mich hat das angestachelt« Drei Einwandererkinder über eine gerechtere Schule und ihren eigenen Weg.PDF,"""Mich hat das angestachelt"" Drei Einwandererkinder über eine gerechtere Schule und ihren eigenen Weg in die | »Mich hat das angestachelt«; Drei Einwandererkinder über eine gerechtere Schule und ihren eigenen Weg in",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),28. Februar 2013 | 28. Februar 2013
near_002,duplicate_near,2,Das Rascheln der Grasmücke Neun Jahre verbrachte Richard Wagner in Zürich. In der Villa _Asyl_ fand.PDF | Das Rascheln der Grasmücke.PDF,"Das Rascheln der Grasmücke; Neun Jahre verbrachte Richard Wagner in Zürich. In der Villa ""Asyl"" fand er | Das Rascheln der Grasmücke",Der Tagesspiegel | Der Tagesspiegel,Sonntag 24. Februar 2013 | Sonntag 24. Februar 2013
near_003,duplicate_near,2,"Gestorben in Abschiebehaft Deutschland muss endlich handeln, wenn Oppositionelle in Russland bedroht(2).PDF | Gestorben in Abschiebehaft Deutschland muss endlich handeln, wenn Oppositionelle in Russland bedroht.PDF","Gestorben in Abschiebehaft Deutschland muss endlich handeln, wenn Oppositionelle in Russland bedroht | Gestorben in Abschiebehaft; Deutschland muss endlich handeln, wenn Oppositionelle in Russland bedroht",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),14. Februar 2013 | 14. Februar 2013
near_004,duplicate_near,2,Kempen_ Mehr Geld für Asylbewerber(2).PDF | Kempen_ Mehr Geld für Asylbewerber.PDF,Kempen: Mehr Geld für Asylbewerber | Kempen: Mehr Geld für Asylbewerber,Rheinische Post | Rheinische Post,19. Februar 2013 Dienstag | 19. Februar 2013 Dienstag
variant_001,regional_variant,2,_Mich hat das angestachelt_ Drei Einwandererkinder über eine gerechtere Schule und ihren eigenen Weg.PDF | »Mich hat das angestachelt« Drei Einwandererkinder über eine gerechtere Schule und ihren eigenen Weg.PDF,"""Mich hat das angestachelt"" Drei Einwandererkinder über eine gerechtere Schule und ihren eigenen Weg in die | »Mich hat das angestachelt«; Drei Einwandererkinder über eine gerechtere Schule und ihren eigenen Weg in",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),28. Februar 2013 | 28. Februar 2013
variant_002,regional_variant,2,Das Rascheln der Grasmücke Neun Jahre verbrachte Richard Wagner in Zürich. In der Villa _Asyl_ fand.PDF | Das Rascheln der Grasmücke.PDF,"Das Rascheln der Grasmücke; Neun Jahre verbrachte Richard Wagner in Zürich. In der Villa ""Asyl"" fand er | Das Rascheln der Grasmücke",Der Tagesspiegel | Der Tagesspiegel,Sonntag 24. Februar 2013 | Sonntag 24. Februar 2013
variant_003,regional_variant,2,"Gestorben in Abschiebehaft Deutschland muss endlich handeln, wenn Oppositionelle in Russland bedroht(2).PDF | Gestorben in Abschiebehaft Deutschland muss endlich handeln, wenn Oppositionelle in Russland bedroht.PDF","Gestorben in Abschiebehaft Deutschland muss endlich handeln, wenn Oppositionelle in Russland bedroht | Gestorben in Abschiebehaft; Deutschland muss endlich handeln, wenn Oppositionelle in Russland bedroht",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),14. Februar 2013 | 14. Februar 2013
variant_004,regional_variant,2,Kempen_ Mehr Geld für Asylbewerber(2).PDF | Kempen_ Mehr Geld für Asylbewerber.PDF,Kempen: Mehr Geld für Asylbewerber | Kempen: Mehr Geld für Asylbewerber,Rheinische Post | Rheinische Post,19. Februar 2013 Dienstag | 19. Februar 2013 Dienstag
