file_name,decision,reason,duplicate_group,notes
_Abgelegt unter Volksverräter_.PDF,keep,,,
_Es fehlt an politischer Bildung_.PDF,keep,,,
Abgeschoben zu werden ist keine Straftat Sven Hüber von der Gewerkschaft der Polizei hat große verfa.PDF,keep,,,
"Alles ist denkbar, aber wer denkt_.PDF",keep,,,
Am langen Arm Horst Seehofers Dürfen Mujtaba S. und Ali Merzai in Deutschland bleiben_ Ein Mal im Mo.PDF,keep,,,
Asyl in den meisten Fällen zu Recht erteilt.PDF,keep,,,
Asyl_ Empfänger-Zahlen sinken lokal unterschiedlich.PDF,keep,,,
Asylzahlen auf Vorkrisen-Niveau Migration Deutschland nahm erneut meiste Flüchtlinge auf.PDF,keep,,,
Ausweg gesucht.PDF,drop,commentary_noncore,,
Behörden spüren geballte Wut.PDF,keep,,,
Betreuung junger Migranten belastet Jugendämter stark Die Zuwanderung unbegleiteter Minderjähriger g.PDF,keep,,,
Bleiberecht statt Ausgrenzung.PDF,drop,commentary_noncore,,
Bremse der Integration Flüchtlinge sind oft gering qualifiziert. Doch auch die Politik sorgt am Jobm.PDF,keep,,,
Bürgermeister zeichnen ungeschönte Bild Tv-Ausblick ZDF-Reportage  Deutschland und die Flüchtlinge.PDF,keep,,,
Das Internat der ausgewanderten Juden Jugendliche ziehen aus Angst vor Antisemitismus nach Israel. I.PDF,keep,,,
Das schlimme E-Wort.PDF,keep,,,
Deutschland bleibt Sehnsuchtsland für Asylsuchende Die Bundesrepublik ist seit sieben Jahren Spitzen.PDF,keep,,,
"Deutschland hat erstmals mehr als 83 Millionen Einwohner Trotz Zuwanderung erwarten Statistiker, das.PDF",keep,,,
Deutschstunden in Duisburg-Marxloh Fast alle Schüler an der Herbert-Grillo-Gesamtschule besitzen ein(2).PDF,drop,regional_variant,variant_001,Dropped in favor of representative file: Deutschstunden in Duisburg-Marxloh Fast alle Schüler an der Herbert-Grillo-Gesamtschule besitzen ein.PDF (variant_001).
Deutschstunden in Duisburg-Marxloh Fast alle Schüler an der Herbert-Grillo-Gesamtschule besitzen ein.PDF,keep,,variant_001,Representative kept for variant_001.
Die Deutschen werden rasant älter Die Bevölkerungszahl wird laut Statistischem Bundesamt auf unter 8(2).PDF,drop,duplicate_exact,exact_001,Dropped in favor of representative file: Die Deutschen werden rasant älter Die Bevölkerungszahl wird laut Statistischem Bundesamt auf unter 8.PDF (exact_001).
Die Deutschen werden rasant älter Die Bevölkerungszahl wird laut Statistischem Bundesamt auf unter 8.PDF,keep,,exact_001,Representative kept for exact_001.
Die Folgen der Flüchtlingskrise In Deutschland leben mehr anerkannte Asylbewerber als in jedem ander.PDF,keep,,,
"Die Zahlen sind besorgniserregend Die UN zählen weltweit 70,8 Millionen Menschen auf der Flucht. Den.PDF",keep,,,
Drama um Flüchtlinge an Bord der _Sea Watch 3_ Auch Berlin bietet Hilfe an. Seehofer verweist auf Br.PDF,keep,,,
Ein teuer erkauftes Würflein Dinah Riese über das Migrations-Gesetzespaket der Groko.PDF,drop,commentary_noncore,,
EKD plant Rettungsschiff für das Mittelmeer(2).PDF,drop,duplicate_exact,exact_002,Dropped in favor of representative file: EKD plant Rettungsschiff für das Mittelmeer.PDF (exact_002).
EKD plant Rettungsschiff für das Mittelmeer.PDF,keep,,exact_002,Representative kept for exact_002.
EKD-Chef_ Seenotrettung darf nicht kriminalisiert werden.PDF,keep,,,
Endet die goldene Ära des amerikanischen Judentums_ Ein polemisches Buch wehrt sich gegen den neuen.PDF,keep,,,
Es ist kompliziert Sozialsenatorin und Innensenator streiten über Abschiebung. Neues Gesetz könnte d.PDF,keep,,,
Flucht nach Deutschland.PDF,keep,,,
Flucht vor dem Sozialismus Analyse Warum immer mehr Venezolaner Asyl in Europa suchen.PDF,drop,commentary_noncore,,
Flüchtlinge bekommen oft unsichere Jobs Berlin-Institut sieht zu große bürokratische Hürden.PDF,keep,,,
Freispruch für Axt-Angreifer beantragt Der Bundesgerichtshof hatte das erste Urteil gegen den 31-Jäh.PDF,keep,,,
Futter für die Populisten.PDF,drop,commentary_noncore,,
Gefangen in der Demografiefalle Dank Zuwanderung und höherer Geburtenrate nimmt die Bevölkerung auf.PDF,keep,,,
"Geisel unterstützt Seenotrettung von Flüchtlingen SPD und Grüne wollen, dass Düsseldorf einen Appell(2).PDF",drop,duplicate_exact,exact_003,"Dropped in favor of representative file: Geisel unterstützt Seenotrettung von Flüchtlingen SPD und Grüne wollen, dass Düsseldorf einen Appell.PDF (exact_003)."
"Geisel unterstützt Seenotrettung von Flüchtlingen SPD und Grüne wollen, dass Düsseldorf einen Appell.PDF",keep,,exact_003,Representative kept for exact_003.
"Immer noch kommen 500 Flüchtlinge pro Tag Der Zuzug von Menschen aus Afrika, Syrien und dem Irak wäc(2).PDF",drop,duplicate_exact,exact_004,"Dropped in favor of representative file: Immer noch kommen 500 Flüchtlinge pro Tag Der Zuzug von Menschen aus Afrika, Syrien und dem Irak wäc.PDF (exact_004)."
"Immer noch kommen 500 Flüchtlinge pro Tag Der Zuzug von Menschen aus Afrika, Syrien und dem Irak wäc.PDF",keep,,exact_004,Representative kept for exact_004.
In Kreuzberg im Himmel in Cottbus nicht so_ Das Restaurant Kreuzberger Himmel bildet Flüchtlinge aus.PDF,keep,,,
"Jetzt ist die Null rot, nicht mehr schwarz Nur dank Milliarden aus der Rücklage für Flüchtlingsausga.PDF",keep,,,
Kritik an Sudan -Abschiebungen Niedersachsen fordert Sicherheitseinschätzung vom Bundesinnenminister.PDF,keep,,,
Legale Zuwanderung wird leichter Die große Koalition hat sich nach langem Streit auf zahlreiche Ände(2).PDF,drop,duplicate_exact,exact_005,Dropped in favor of representative file: Legale Zuwanderung wird leichter Die große Koalition hat sich nach langem Streit auf zahlreiche Ände.PDF (exact_005).
Legale Zuwanderung wird leichter Die große Koalition hat sich nach langem Streit auf zahlreiche Ände.PDF,keep,,exact_005,Representative kept for exact_005.
Links wie rechts Dänemarks Sozialdemokraten siegen dank einer strengen Einwanderungspolitik(2).PDF,drop,duplicate_exact,exact_006,Dropped in favor of representative file: Links wie rechts Dänemarks Sozialdemokraten siegen dank einer strengen Einwanderungspolitik.PDF (exact_006).
Links wie rechts Dänemarks Sozialdemokraten siegen dank einer strengen Einwanderungspolitik.PDF,keep,,exact_006,Representative kept for exact_006.
Meerbuscher VHS fördert Integration Die Volkshochschule bietet zwei besondere Sprachkurse für zugewa.PDF,keep,,,
"Mehr Einwohner, mehr Alte.PDF",drop,commentary_noncore,,
Milliarden-Geldstrom wird nach Frankfurt umgeleitet Zwar ist der massenhafte Umzug von Arbeitsplätze.PDF,keep,,,
Nicht schwul genug für Asyl.PDF,keep,,,
Niedrigere Hürden für Zuwanderung.PDF,keep,,,
Nur noch weg aus der Heimat.PDF,keep,,,
Pressestimmen.PDF,drop,commentary_noncore,,
Rechter Terror.PDF,drop,commentary_noncore,,
"Schieflage Im deutschen Sicherheitsapparat gibt es zu viele Sympathisanten für rechte Ideologien, sa.PDF",keep,,,
Sie stärken geflüchtete Frauen Integration Aufnahmestelle gibt Bewohnerinnen einen geschützten Raum.PDF,keep,,,
Sieben Gesetze_ Was bringt das neue Asylpaket_ Bundestag Union und SPD wollen die Migration nach Deu.PDF,keep,,,
So viele Einwohner wie nie Bevölkerung Mehr als 83 Millionen in Deutschland   Zuwachs auch in Weser-.PDF,keep,,,
Soheil Seyfikar und die deutschen Behörden Seit drei Jahren lebt der iranische Flüchtling in Haan. N.PDF,keep,,,
Sozialdemokraten in Skandinavien gefragt Analyse Erfolg bei Parlamentswahl in Dänemark erwartet.PDF,keep,,,
Spur in die rechte Szene Vor gut zwei Wochen wurde Kassels Regierungspräsident Walter Lübcke (CDU) e.PDF,keep,,,
UNHCR_ Kabul ist hochgefährlich.PDF,keep,,,
Verrat oder gute Idee_.PDF,drop,commentary_noncore,,
Vielen Flüchtlingen droht die Arbeitslosigkeit Einfache Hilfstätigkeiten gehören im wirtschaftlichen.PDF,keep,,,
Von Seehofers _Asylwende_ ist nichts geblieben Ein Jahr nach dem Beinahe-Bruch von CDU und CSU fällt.PDF,keep,,,
"was macht die bewegung_ Mittwoch, 12. Juni Kiel _ Doppel.PDF",keep,,,
Weiterhin Ehrenamtliche gesucht Integration Wie groß ist das Engagement für Flüchtlinge noch in West.PDF,keep,,,
Weniger Hürden für Zuwanderung.PDF,keep,,,
"Wer hat ihn erschossen_ Stephan E. war Mitglied der NPD, saß wegen schwerer Körperverletzung im Gefä.PDF",keep,,,
Zeit für ausländische Fachkräfte Der Unternehmerverband begrüßt das Fachkräfteeinwanderungsgesetz.PDF,keep,,,
Zwischen 0.50 Uhr und 3.20 Uhr Zehn Asylbewerber und ein Deutscher sollen in Freiburg eine 18-Jährig.PDF,keep,,,
