group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,"Bald wieder geöffnet Weil wieder mehr Zuwanderer kommen und Abschiebungen selten gelingen, bauen die(2).PDF | Bald wieder geöffnet Weil wieder mehr Zuwanderer kommen und Abschiebungen selten gelingen, bauen die(3).PDF","Bald wieder geöffnet; Weil wieder mehr Zuwanderer kommen und Abschiebungen selten gelingen, bauen die | Bald wieder geöffnet Weil wieder mehr Zuwanderer kommen und Abschiebungen selten gelingen, bauen die",Welt am Sonntag | Welt am Sonntag,12. Februar 2022 | 13. Februar 2022
exact_002,duplicate_exact,2,Deutschland bereitet sich auf Flüchtlingswelle vor(2).PDF | Deutschland bereitet sich auf Flüchtlingswelle vor.PDF,Deutschland bereitet sich auf Flüchtlingswelle vor | Deutschland bereitet sich auf Flüchtlingswelle vor,Rheinische Post | Rheinische Post,Freitag 25. Februar 2022 | Freitag 25. Februar 2022
exact_003,duplicate_exact,2,Düsseldorf bereitet sich auf Flüchtlinge vor Stadt und Wohlfahrtsverbände schaffen Kapazitäten für U(2).PDF | Düsseldorf bereitet sich auf Flüchtlinge vor Stadt und Wohlfahrtsverbände schaffen Kapazitäten für U.PDF,"Düsseldorf bereitet sich auf Flüchtlinge vor Stadt und Wohlfahrtsverbände schaffen Kapazitäten für Ukrainer, | Düsseldorf bereitet sich auf Flüchtlinge vor Stadt und Wohlfahrtsverbände schaffen Kapazitäten für Ukrainer,",Rheinische Post | Rheinische Post,Samstag 26. Februar 2022 | Samstag 26. Februar 2022
exact_004,duplicate_exact,2,Flüchtlinge_ Gesundheitskarte statt Krankenschein(2).PDF | Flüchtlinge_ Gesundheitskarte statt Krankenschein.PDF,Flüchtlinge: Gesundheitskarte statt Krankenschein | Flüchtlinge: Gesundheitskarte statt Krankenschein,Rheinische Post | Rheinische Post,Freitag 25. Februar 2022 | Donnerstag 24. Februar 2022
exact_005,duplicate_exact,2,Nachrichten Besuch in Jordanien_ Baerbock für mehr Flüchtlingshilfe ++ Finanzen_ Nachtragshaushalt p(2).PDF | Nachrichten Besuch in Jordanien_ Baerbock für mehr Flüchtlingshilfe ++ Finanzen_ Nachtragshaushalt p.PDF,Nachrichten; Besuch in Jordanien: Baerbock für mehr Flüchtlingshilfe ++ Finanzen: Nachtragshaushalt passiert | Nachrichten; Besuch in Jordanien: Baerbock für mehr Flüchtlingshilfe ++ Finanzen: Nachtragshaushalt passiert,Welt am Sonntag | Welt am Sonntag,12. Februar 2022 | 13. Februar 2022
exact_006,duplicate_exact,2,NRW prüft Kapazitäten für Flüchtlinge(2).PDF | NRW prüft Kapazitäten für Flüchtlinge.PDF,NRW prüft Kapazitäten für Flüchtlinge | NRW prüft Kapazitäten für Flüchtlinge,Rheinische Post | Rheinische Post,Samstag 26. Februar 2022 | Samstag 26. Februar 2022
near_001,duplicate_near,2,"Bald wieder geöffnet Weil wieder mehr Zuwanderer kommen und Abschiebungen selten gelingen, bauen die(3).PDF | Bald wieder geöffnet Weil wieder mehr Zuwanderer kommen und Abschiebungen selten gelingen, bauen die.PDF","Bald wieder geöffnet Weil wieder mehr Zuwanderer kommen und Abschiebungen selten gelingen, bauen die | Bald wieder geöffnet Weil wieder mehr Zuwanderer kommen und Abschiebungen selten gelingen, bauen die",Welt am Sonntag | Welt am Sonntag,13. Februar 2022 | 13. Februar 2022
near_002,duplicate_near,2,Gerüstet für mögliche Flüchtlingswelle Ukraine -Krieg Dr. Christian Pundt_ Landkreis wäre schnell ha.PDF | Gerüstet für mögliche Flüchtlingswelle Ukraine -Krieg Pundt_ Landkreis wäre schnell handlungsfähig.PDF,Gerüstet für mögliche Flüchtlingswelle Ukraine -Krieg Dr. Christian Pundt: Landkreis wäre schnell | Gerüstet für mögliche Flüchtlingswelle Ukraine -Krieg Pundt: Landkreis wäre schnell handlungsfähig,Nordwest-Zeitung | Nordwest-Zeitung,26. Februar 2022 | 26. Februar 2022
near_003,duplicate_near,2,Neues Wohnraum-Konzept für Geflüchtete(2).PDF | Neues Wohnraum-Konzept für Geflüchtete.PDF,Neues Wohnraum-Konzept für Geflüchtete | Neues Wohnraum-Konzept für Geflüchtete,Rheinische Post | Rheinische Post,Freitag 4. Februar 2022 | Freitag 4. Februar 2022
variant_001,regional_variant,2,"Bald wieder geöffnet Weil wieder mehr Zuwanderer kommen und Abschiebungen selten gelingen, bauen die(3).PDF | Bald wieder geöffnet Weil wieder mehr Zuwanderer kommen und Abschiebungen selten gelingen, bauen die.PDF","Bald wieder geöffnet Weil wieder mehr Zuwanderer kommen und Abschiebungen selten gelingen, bauen die | Bald wieder geöffnet Weil wieder mehr Zuwanderer kommen und Abschiebungen selten gelingen, bauen die",Welt am Sonntag | Welt am Sonntag,13. Februar 2022 | 13. Februar 2022
variant_002,regional_variant,2,Gerüstet für mögliche Flüchtlingswelle Ukraine -Krieg Dr. Christian Pundt_ Landkreis wäre schnell ha.PDF | Gerüstet für mögliche Flüchtlingswelle Ukraine -Krieg Pundt_ Landkreis wäre schnell handlungsfähig.PDF,Gerüstet für mögliche Flüchtlingswelle Ukraine -Krieg Dr. Christian Pundt: Landkreis wäre schnell | Gerüstet für mögliche Flüchtlingswelle Ukraine -Krieg Pundt: Landkreis wäre schnell handlungsfähig,Nordwest-Zeitung | Nordwest-Zeitung,26. Februar 2022 | 26. Februar 2022
variant_003,regional_variant,2,Neues Wohnraum-Konzept für Geflüchtete(2).PDF | Neues Wohnraum-Konzept für Geflüchtete.PDF,Neues Wohnraum-Konzept für Geflüchtete | Neues Wohnraum-Konzept für Geflüchtete,Rheinische Post | Rheinische Post,Freitag 4. Februar 2022 | Freitag 4. Februar 2022
